"CN","DistinguishedName","PasswordLastSet","OperatingSystem","OperatingSystemVersion"
"ARCC-HVS-002","CN=ARCC-HVS-002,OU=Hypervisors,OU=Computers,OU=RI,DC=RI,DC=Ads","1/15/2019 2:13:45 PM","Hyper-V Server 2012","6.2 (9200)"
"RI-DEP-001","CN=RI-DEP-001,OU=Servers,OU=Legacy,OU=Computers,OU=RI,DC=RI,DC=Ads","12/16/2014 7:23:37 AM","Windows XP Professional","5.1 (2600)"
"RI-LOANER-078","CN=RI-LOANER-078,OU=Workstations,OU=Legacy,OU=Computers,OU=RI,DC=RI,DC=Ads","7/20/2013 9:09:11 AM","Windows XP Professional","5.1 (2600)"
"ri-mac-001","CN=ri-mac-001,OU=Workstations,OU=Legacy,OU=Computers,OU=RI,DC=RI,DC=Ads","3/19/2015 3:11:33 PM","Mac OS X","10.6.4 (Build 10F3061)"
"RI-WKS-002","CN=RI-WKS-002,OU=Workstations,OU=Legacy,OU=Computers,OU=RI,DC=RI,DC=Ads","3/2/2016 7:35:37 PM","Windows 7 Professional","6.1 (7601)"
"RI-NUC-001","CN=RI-NUC-001,OU=Desktops,OU=Workstations,OU=Computers,OU=RI,DC=RI,DC=Ads","5/20/2014 10:50:15 AM","Windows 7 Professional","6.1 (7601)"
"RI-LOANER-079","CN=RI-LOANER-079,OU=Workstations,OU=Legacy,OU=Computers,OU=RI,DC=RI,DC=Ads","8/2/2013 10:44:17 PM","Windows XP Professional","5.1 (2600)"
"RI-NUC-003","CN=RI-NUC-003,OU=Desktops,OU=Workstations,OU=Computers,OU=RI,DC=RI,DC=Ads","11/13/2015 2:59:45 AM","Windows 8 Pro","6.2 (9200)"
"RI-WKS-001","CN=RI-WKS-001,OU=Laptops,OU=Workstations,OU=Computers,OU=RI,DC=RI,DC=Ads","1/19/2015 8:40:52 AM","Windows 7 Professional","6.1 (7601)"
"RI-SURFACE-002","CN=RI-SURFACE-002,OU=Tablets,OU=Workstations,OU=Computers,OU=RI,DC=RI,DC=Ads","11/21/2017 10:55:05 AM","Windows 10 Pro","10.0 (10240)"
"RI-MDT-002","CN=RI-MDT-002,OU=Servers,OU=Computers,OU=RI,DC=RI,DC=Ads","2/19/2016 1:21:18 PM","Windows Server 2012 Datacenter","6.2 (9200)"
"RI-FS-001","CN=RI-FS-001,OU=Servers,OU=Computers,OU=RI,DC=RI,DC=Ads","3/18/2020 6:12:30 AM","Windows Server 2012 Datacenter","6.2 (9200)"
"RI-HOSTMON-001","CN=RI-HOSTMON-001,OU=Servers,OU=Legacy,OU=Computers,OU=RI,DC=RI,DC=Ads","12/16/2019 4:37:44 PM","Windows XP Professional","5.1 (2600)"
"RI-MDT-TEST","CN=RI-MDT-TEST,OU=Desktops,OU=Workstations,OU=Computers,OU=RI,DC=RI,DC=Ads","6/27/2013 11:54:13 AM","Windows 7 Professional","6.1 (7601)"
"RI-FS-002","CN=RI-FS-002,OU=Servers,OU=Computers,OU=RI,DC=RI,DC=Ads","4/8/2020 7:26:46 AM","Windows Server 2012 Datacenter","6.2 (9200)"
"ARCC-HVS-003","CN=ARCC-HVS-003,OU=Hypervisors,OU=Computers,OU=RI,DC=RI,DC=Ads","3/23/2020 7:58:54 AM","Hyper-V Server 2012","6.2 (9200)"
"RI-SQL-002","CN=RI-SQL-002,OU=Servers,OU=Computers,OU=RI,DC=RI,DC=Ads","7/15/2014 8:19:25 PM","Windows Server 2012 Datacenter","6.2 (9200)"
"RI-OME-001","CN=RI-OME-001,OU=Servers,OU=Computers,OU=RI,DC=RI,DC=Ads","2/15/2014 11:32:29 AM","Windows Server 2012 Datacenter","6.2 (9200)"
"RI-SQL-003","CN=RI-SQL-003,OU=Servers,OU=Computers,OU=RI,DC=RI,DC=Ads","6/17/2014 9:23:31 AM","Windows Server 2012 Datacenter","6.2 (9200)"
"RI-WKS-009","CN=RI-WKS-009,OU=Desktops,OU=Workstations,OU=Computers,OU=RI,DC=RI,DC=Ads","2/15/2015 8:40:56 PM","Windows 7 Professional","6.1 (7601)"
"MDT-DEP-TEST","CN=MDT-DEP-TEST,OU=Desktops,OU=Workstations,OU=Computers,OU=RI,DC=RI,DC=Ads","9/6/2013 8:25:15 AM","Windows 7 Professional","6.1 (7601)"
"MDT-DEPLOY-TEST","CN=MDT-DEPLOY-TEST,OU=Desktops,OU=Workstations,OU=Computers,OU=RI,DC=RI,DC=Ads","9/13/2013 2:31:55 PM","Windows 7 Professional","6.1 (7601)"
"RI-WSUS-002","CN=RI-WSUS-002,OU=Servers,OU=Computers,OU=RI,DC=RI,DC=Ads","3/16/2020 3:58:28 AM","Windows Server 2012 Datacenter","6.2 (9200)"
"GDA-HVS-001","CN=GDA-HVS-001,OU=Hypervisors,OU=Computers,OU=RI,DC=RI,DC=Ads","3/31/2020 11:04:08 PM","Hyper-V Server 2012 R2","6.3 (9600)"
"ACP-HVS-001","CN=ACP-HVS-001,OU=Hypervisors,OU=Computers,OU=RI,DC=RI,DC=Ads","4/5/2020 3:22:13 AM","Hyper-V Server 2012 R2","6.3 (9600)"
"RI-HVS-006","CN=RI-HVS-006,OU=Hypervisors,OU=Computers,OU=RI,DC=RI,DC=Ads","10/14/2017 11:47:29 PM","Hyper-V Server 2012 R2","6.3 (9600)"
"RI-HVS-002","CN=RI-HVS-002,OU=Hypervisors,OU=Computers,OU=RI,DC=RI,DC=Ads","9/13/2019 3:52:09 PM","Hyper-V Server 2012 R2","6.3 (9600)"
"RI-BACKUP-010","CN=RI-BACKUP-010,OU=Servers,OU=Computers,OU=RI,DC=RI,DC=Ads","3/27/2020 10:48:30 AM","Windows Server 2012 Datacenter","6.2 (9200)"
"RI-HVS-001","CN=RI-HVS-001,OU=Hypervisors,OU=Computers,OU=RI,DC=RI,DC=Ads","3/20/2020 3:20:05 PM","Hyper-V Server 2012 R2","6.3 (9600)"
"RI-VMM-001","CN=RI-VMM-001,OU=Servers,OU=Computers,OU=RI,DC=RI,DC=Ads","3/9/2020 9:40:09 AM","Windows Server 2012 Datacenter","6.2 (9200)"
"RI-HVS-005","CN=RI-HVS-005,OU=Hypervisors,OU=Computers,OU=RI,DC=RI,DC=Ads","11/21/2016 4:04:32 AM","Hyper-V Server 2012 R2","6.3 (9600)"
"RI-DT-010","CN=RI-DT-010,OU=Desktops,OU=Workstations,OU=Computers,OU=RI,DC=RI,DC=Ads","9/29/2015 8:30:29 AM","Windows 10 Pro","10.0 (10240)"
"RI-DT-012","CN=RI-DT-012,OU=Desktops,OU=Workstations,OU=Computers,OU=RI,DC=RI,DC=Ads","6/13/2014 9:43:32 AM","Windows 8.1 Pro","6.3 (9600)"
"RI-SEPM-001","CN=RI-SEPM-001,OU=Servers,OU=Computers,OU=RI,DC=RI,DC=Ads","3/24/2020 10:04:14 AM","Windows Server 2012 Datacenter","6.2 (9200)"
"RI-PSG-001","CN=RI-PSG-001,OU=Servers,OU=Computers,OU=RI,DC=RI,DC=Ads","3/25/2018 2:19:14 PM","Windows Server 2012 Datacenter","6.2 (9200)"
"RI-HVS-007","CN=RI-HVS-007,OU=Hypervisors,OU=Computers,OU=RI,DC=RI,DC=Ads","3/29/2020 6:58:39 PM","Windows Server 2012 R2 Standard","6.3 (9600)"
"RI-HDC-003","CN=RI-HDC-003,OU=Domain Controllers,DC=RI,DC=Ads","3/29/2020 9:33:04 PM","Windows Server 2012 R2 Standard","6.3 (9600)"
"RI-BACKUP-004","CN=RI-BACKUP-004,OU=Servers,OU=Computers,OU=RI,DC=RI,DC=Ads","3/10/2020 9:21:06 PM","Windows Server 2012 R2 Standard","6.3 (9600)"
"RI-DT-013","CN=RI-DT-013,OU=Desktops,OU=Workstations,OU=Computers,OU=RI,DC=RI,DC=Ads","3/23/2020 2:16:11 PM","Windows 10 Enterprise","10.0 (17134)"
"RI-APP-001","CN=RI-APP-001,OU=Servers,OU=Computers,OU=RI,DC=RI,DC=Ads","3/21/2017 10:48:30 PM","Windows Server 2012 Datacenter","6.2 (9200)"
"RI-OM-001","CN=RI-OM-001,OU=Servers,OU=Computers,OU=RI,DC=RI,DC=Ads","3/18/2017 2:59:39 PM","Windows Server 2012 Datacenter","6.2 (9200)"
"ODC-HVS-001","CN=ODC-HVS-001,OU=Hypervisors,OU=Computers,OU=RI,DC=RI,DC=Ads","5/10/2017 12:33:10 AM","Hyper-V Server 2012 R2","6.3 (9600)"
"RI-PST-001","CN=RI-PST-001,CN=Computers,DC=RI,DC=Ads","8/22/2014 10:09:44 AM","Windows Server 2012 Datacenter","6.2 (9200)"
"TEST-PSWA-001","CN=TEST-PSWA-001,OU=Servers,OU=Computers,OU=RI,DC=RI,DC=Ads","8/27/2014 8:57:31 AM","Windows Server 2012 Datacenter","6.2 (9200)"
"TEST-BACKUP-001","CN=TEST-BACKUP-001,CN=Computers,DC=RI,DC=Ads","10/2/2014 1:47:13 PM","Windows Server 2012 Datacenter","6.2 (9200)"
"HSFG-HVS-002","CN=HSFG-HVS-002,OU=Hypervisors,OU=Computers,OU=RI,DC=RI,DC=Ads","3/22/2020 11:16:39 AM","Hyper-V Server 2012 R2","6.3 (9600)"
"PAL-HVS-001","CN=PAL-HVS-001,OU=Hypervisors,OU=Computers,OU=RI,DC=RI,DC=Ads","4/5/2020 12:57:44 AM","Hyper-V Server 2012 R2","6.3 (9600)"
"RI-HVS-009","CN=RI-HVS-009,OU=Hypervisors,OU=Computers,OU=RI,DC=RI,DC=Ads","3/30/2020 3:21:56 PM","Hyper-V Server 2012 R2","6.3 (9600)"
"RI-APP-002","CN=RI-APP-002,OU=Servers,OU=Computers,OU=RI,DC=RI,DC=Ads","10/20/2014 2:28:57 PM","Windows 7 Professional","6.1 (7601)"
"TEST-ADP-001","CN=TEST-ADP-001,CN=Computers,DC=RI,DC=Ads","1/29/2015 6:29:32 PM","Windows Server 2012 Datacenter","6.2 (9200)"
"ARCC-HVS-006","CN=ARCC-HVS-006,OU=Hypervisors,OU=Computers,OU=RI,DC=RI,DC=Ads","4/5/2020 4:03:31 AM","Hyper-V Server 2012 R2","6.3 (9600)"
"SHEP-HVS-005","CN=SHEP-HVS-005,OU=Hypervisors,OU=Computers,OU=RI,DC=RI,DC=Ads","3/19/2020 3:05:34 PM","Hyper-V Server 2012 R2","6.3 (9600)"
"RI-WIKI-001","CN=RI-WIKI-001,OU=Servers,OU=Computers,OU=RI,DC=RI,DC=Ads","3/27/2020 3:34:20 AM","Windows Server 2012 Datacenter","6.2 (9200)"
"ARCC-HVS-004","CN=ARCC-HVS-004,OU=Hypervisors,OU=Computers,OU=RI,DC=RI,DC=Ads","3/11/2020 7:26:29 PM","Hyper-V Server 2012 R2","6.3 (9600)"
"RI-HVS-008","CN=RI-HVS-008,OU=Hypervisors,OU=Computers,OU=RI,DC=RI,DC=Ads","1/3/2016 9:38:35 PM","Hyper-V Server 2012 R2","6.3 (9600)"
"RI-LT-016","CN=RI-LT-016,OU=Laptops,OU=Workstations,OU=Computers,OU=RI,DC=RI,DC=Ads","3/9/2020 8:54:03 AM","Windows 7 Professional","6.1 (7601)"
"RI-DT-015","CN=RI-DT-015,OU=Desktops,OU=Workstations,OU=Computers,OU=RI,DC=RI,DC=Ads","2/24/2015 12:15:39 PM","Windows 10 Pro Technical Preview","10.0 (9926)"
"RI-LT-017","CN=RI-LT-017,OU=Laptops,OU=Workstations,OU=Computers,OU=RI,DC=RI,DC=Ads","3/31/2015 10:08:24 AM","Windows 7 Professional","6.1 (7601)"
"RI-DT-008","CN=RI-DT-008,OU=Desktops,OU=Workstations,OU=Computers,OU=RI,DC=RI,DC=Ads","4/3/2020 2:55:17 PM","Windows 10 Pro","10.0 (18363)"
"RI-DT-033","CN=RI-DT-033,OU=Desktops,OU=Workstations,OU=Computers,OU=RI,DC=RI,DC=Ads","4/8/2020 12:50:29 PM","Windows 10 Pro","10.0 (18363)"
"RI-HVS-004","CN=RI-HVS-004,OU=Hypervisors,OU=Computers,OU=RI,DC=RI,DC=Ads","3/15/2016 7:11:06 AM","Hyper-V Server 2012 R2","6.3 (9600)"
"RI-DT-016","CN=RI-DT-016,OU=Desktops,OU=Workstations,OU=Computers,OU=RI,DC=RI,DC=Ads","4/21/2016 9:59:48 AM","Windows 10 Enterprise Insider Preview","10.0 (10576)"
"RI-BACKUP-005","CN=RI-BACKUP-005,OU=Servers,OU=Computers,OU=RI,DC=RI,DC=Ads","12/8/2015 11:57:34 AM","Windows Server 2012 R2 Standard","6.3 (9600)"
"RI-MDT-003","CN=RI-MDT-003,OU=Servers,OU=Computers,OU=RI,DC=RI,DC=Ads","4/7/2020 4:30:46 AM","Windows Server 2012 Datacenter","6.2 (9200)"
"RI-EXCH-002","CN=RI-EXCH-002,OU=Servers,OU=Computers,OU=RI,DC=RI,DC=Ads","3/9/2020 4:02:17 AM","Windows Server 2012 Datacenter","6.2 (9200)"
"RI-CS-001","CN=RI-CS-001,OU=Servers,OU=Computers,OU=RI,DC=RI,DC=Ads","8/6/2015 3:46:11 PM","Windows Server 2012 Datacenter","6.2 (9200)"
"RI-SD-001","CN=RI-SD-001,OU=Servers,OU=Computers,OU=RI,DC=RI,DC=Ads","3/25/2020 1:47:18 PM","Windows Server 2012 Datacenter","6.2 (9200)"
"RI-HWDB-001","CN=RI-HWDB-001,OU=Servers,OU=Computers,OU=RI,DC=RI,DC=Ads","3/12/2017 5:31:49 PM","Windows Server 2012 Datacenter","6.2 (9200)"
"RI-HVS-011","CN=RI-HVS-011,OU=Hypervisors,OU=Computers,OU=RI,DC=RI,DC=Ads","3/18/2020 6:53:59 PM","Windows Server 2012 R2 Standard","6.3 (9600)"
"RI-BACKUP-006","CN=RI-BACKUP-006,OU=Servers,OU=Computers,OU=RI,DC=RI,DC=Ads","3/26/2020 7:18:06 AM","Windows Server 2012 R2 Standard","6.3 (9600)"
"RI-SBS-001","CN=RI-SBS-001,OU=Servers,OU=Computers,OU=RI,DC=RI,DC=Ads","10/6/2015 4:00:48 PM","Windows Server 2012 Datacenter","6.2 (9200)"
"RI-HM-001","CN=RI-HM-001,OU=Servers,OU=Computers,OU=RI,DC=RI,DC=Ads","3/22/2020 2:16:00 AM","Windows Server 2012 Datacenter","6.2 (9200)"
"RI-APS-001","CN=RI-APS-001,OU=Servers,OU=Computers,OU=RI,DC=RI,DC=Ads","4/2/2020 9:23:08 PM","Windows Server 2012 Datacenter","6.2 (9200)"
"BLUS-HVS-002","CN=BLUS-HVS-002,OU=Hypervisors,OU=Computers,OU=RI,DC=RI,DC=Ads","3/22/2020 3:32:00 PM","Hyper-V Server 2012 R2","6.3 (9600)"
"SHEP-HVS-001","CN=SHEP-HVS-001,OU=Hypervisors,OU=Computers,OU=RI,DC=RI,DC=Ads","3/11/2020 3:52:56 PM","Hyper-V Server","10.0 (17763)"
"RI-DT-021","CN=RI-DT-021,OU=Desktops,OU=Workstations,OU=Computers,OU=RI,DC=RI,DC=Ads","1/8/2018 3:37:24 PM","Windows 10 Pro","10.0 (10240)"
"BLUS-HVS-001","CN=BLUS-HVS-001,OU=Hypervisors,OU=Computers,OU=RI,DC=RI,DC=Ads","3/29/2020 9:28:24 AM","Hyper-V Server 2012 R2","6.3 (9600)"
"RI-TESTSETUP","CN=RI-TESTSETUP,OU=Test Computer,OU=Computers,OU=RI,DC=RI,DC=Ads","11/20/2017 10:44:55 AM","Windows 10 Pro","10.0 (10586)"
"RI-NMS-001","CN=RI-NMS-001,OU=Servers,OU=Computers,OU=RI,DC=RI,DC=Ads","2/25/2016 9:49:11 PM","Windows Server 2012 Datacenter","6.2 (9200)"
"RI-HVS-013","CN=RI-HVS-013,OU=Hypervisors,OU=Computers,OU=RI,DC=RI,DC=Ads","3/18/2016 2:50:50 PM","Hyper-V Server 2012 R2","6.3 (9600)"
"ri-nas-001","CN=ri-nas-001,CN=Computers,DC=RI,DC=Ads","3/17/2016 5:06:55 PM",,
"RI-DT-022","CN=RI-DT-022,OU=Desktops,OU=Workstations,OU=Computers,OU=RI,DC=RI,DC=Ads","3/13/2020 2:53:29 PM","Windows 10 Pro","10.0 (10586)"
"ACE-HVS-001","CN=ACE-HVS-001,OU=Hypervisors,OU=Computers,OU=RI,DC=RI,DC=Ads","3/24/2020 5:01:09 PM","Hyper-V Server 2012 R2","6.3 (9600)"
"RI-HM-002","CN=RI-HM-002,OU=Virtual,OU=Workstations,OU=Computers,OU=RI,DC=RI,DC=Ads","5/26/2016 9:34:32 AM","Windows 7 Professional","6.1 (7601)"
"SHEP-HVS-003","CN=SHEP-HVS-003,OU=Hypervisors,OU=Computers,OU=RI,DC=RI,DC=Ads","3/21/2020 3:14:57 AM","Hyper-V Server 2012 R2","6.3 (9600)"
"RI-HDC-004","CN=RI-HDC-004,OU=Domain Controllers,DC=RI,DC=Ads","3/25/2020 11:36:35 PM","Windows Server 2012 R2 Standard","6.3 (9600)"
"RI-WSUS-003","CN=RI-WSUS-003,OU=Servers,OU=Computers,OU=RI,DC=RI,DC=Ads","3/19/2020 4:24:48 PM","Windows Server 2012 R2 Standard","6.3 (9600)"
"RI-HM-003","CN=RI-HM-003,OU=Servers,OU=Computers,OU=RI,DC=RI,DC=Ads","3/27/2020 10:07:58 AM","Windows Server 2012 R2 Standard","6.3 (9600)"
"RI-DT-023","CN=RI-DT-023,OU=Desktops,OU=Workstations,OU=Computers,OU=RI,DC=RI,DC=Ads","12/1/2018 11:39:48 PM","Windows 10 Pro","10.0 (10586)"
"RI-WSUS-004","CN=RI-WSUS-004,OU=Servers,OU=Computers,OU=RI,DC=RI,DC=Ads","4/5/2020 12:53:40 PM","Windows Server 2012 R2 Standard","6.3 (9600)"
"RI-WIN7-002","CN=RI-WIN7-002,OU=Test Computer,OU=Computers,OU=RI,DC=RI,DC=Ads","2/8/2018 1:23:01 PM","Windows 7 Professional","6.1 (7601)"
"RI-MDMT-001","CN=RI-MDMT-001,OU=Servers,OU=Computers,OU=RI,DC=RI,DC=Ads","6/11/2018 8:47:40 PM","Windows Server 2012 Datacenter","6.2 (9200)"
"RI-DCT-001","CN=RI-DCT-001,OU=Servers,OU=Computers,OU=RI,DC=RI,DC=Ads","8/29/2016 9:38:07 AM","Windows Server 2012 R2 Standard","6.3 (9600)"
"RI-RDG-001","CN=RI-RDG-001,OU=Servers,OU=Computers,OU=RI,DC=RI,DC=Ads","4/3/2020 8:44:05 PM","Windows Server 2012 R2 Standard","6.3 (9600)"
"RI-WIN-001","CN=RI-WIN-001,OU=Test Computer,OU=Computers,OU=RI,DC=RI,DC=Ads","9/9/2016 9:51:29 AM","Windows 7 Professional","6.1 (7601)"
"nas4free","CN=nas4free,CN=Computers,DC=RI,DC=Ads","9/13/2016 3:17:56 PM",,
"RMC-HVS-001","CN=RMC-HVS-001,OU=Hypervisors,OU=Computers,OU=RI,DC=RI,DC=Ads","3/26/2020 9:59:43 AM","Hyper-V Server 2012 R2","6.3 (9600)"
"RI-DT-019","CN=RI-DT-019,OU=Servers,OU=Computers,OU=RI,DC=RI,DC=Ads","3/26/2020 12:16:15 PM","Windows 10 Pro","10.0 (16299)"
"RI-SPT-003","CN=RI-SPT-003,OU=Servers,OU=Computers,OU=RI,DC=RI,DC=Ads","1/11/2017 2:03:56 PM","Windows Server 2012 Standard","6.2 (9200)"
"RI-WSS-001","CN=RI-WSS-001,OU=Servers,OU=Computers,OU=RI,DC=RI,DC=Ads","1/12/2017 8:09:51 AM","Windows Server? 2008 Standard","6.0 (6002)"
"RI-WSS-002","CN=RI-WSS-002,CN=Computers,DC=RI,DC=Ads","1/13/2017 8:32:29 AM","Windows Server? 2008 Standard","6.0 (6002)"
"RI-SPT-002","CN=RI-SPT-002,CN=Computers,DC=RI,DC=Ads","1/16/2017 11:41:16 AM","Windows Server 2012 Standard","6.2 (9200)"
"RI-RDS-001","CN=RI-RDS-001,OU=Servers,OU=Computers,OU=RI,DC=RI,DC=Ads","5/30/2017 8:58:08 PM","Windows Server 2016 Standard Evaluation","10.0 (14393)"
"RI-SQL-001","CN=RI-SQL-001,OU=Servers,OU=Computers,OU=RI,DC=RI,DC=Ads","3/13/2020 7:34:27 AM","Windows Server 2012 Datacenter","6.2 (9200)"
"RI-DT-034","CN=RI-DT-034,OU=Desktops,OU=Workstations,OU=Computers,OU=RI,DC=RI,DC=Ads","6/28/2017 10:15:11 AM","Windows 10 Pro","10.0 (10586)"
"RI-VM-032","CN=RI-VM-032,OU=Virtual,OU=Workstations,OU=Computers,OU=RI,DC=RI,DC=Ads","7/9/2017 1:27:33 PM","Windows 10 Pro","10.0 (15063)"
"SHEP-HVS-002","CN=SHEP-HVS-002,OU=Hypervisors,OU=Computers,OU=RI,DC=RI,DC=Ads","8/8/2017 2:01:49 PM","Hyper-V Server 2012 R2","6.3 (9600)"
"RI-DT-018","CN=RI-DT-018,OU=Desktops,OU=Workstations,OU=Computers,OU=RI,DC=RI,DC=Ads","3/28/2020 9:02:42 AM","Windows 10 Pro","10.0 (10586)"
"RI-MDT-004","CN=RI-MDT-004,OU=Servers,OU=Computers,OU=RI,DC=RI,DC=Ads","6/15/2018 8:02:41 PM","Windows Server 2012 R2 Standard","6.3 (9600)"
"RI-DEV-001","CN=RI-DEV-001,OU=Virtual,OU=Workstations,OU=Computers,OU=RI,DC=RI,DC=Ads","3/28/2020 8:38:05 AM","Windows 10 Enterprise","10.0 (16299)"
"REPLICA-SV01","CN=REPLICA-SV01,OU=Hypervisors,OU=Computers,OU=RI,DC=RI,DC=Ads","2/8/2018 3:45:47 PM","Hyper-V Server 2012","6.2 (9200)"
"RI-LAB-LT-001","CN=RI-LAB-LT-001,CN=Computers,DC=RI,DC=Ads","4/7/2020 10:12:34 AM","Windows 7 Professional","6.1 (7601)"
"WPC-HVS-001","CN=WPC-HVS-001,OU=Hypervisors,OU=Computers,OU=RI,DC=RI,DC=Ads","3/16/2020 10:34:05 AM","Hyper-V Server 2016","10.0 (14393)"
"ODC-HVS-002","CN=ODC-HVS-002,OU=Hypervisors,OU=Computers,OU=RI,DC=RI,DC=Ads","3/19/2020 1:10:38 AM","Hyper-V Server 2016","10.0 (14393)"
"RI-DT-030","CN=RI-DT-030,OU=Desktops,OU=Workstations,OU=Computers,OU=RI,DC=RI,DC=Ads","11/14/2019 10:41:04 AM","Windows 10 Pro","10.0 (18362)"
"NAIL-HVS-001","CN=NAIL-HVS-001,OU=Hypervisors,OU=Computers,OU=RI,DC=RI,DC=Ads","3/9/2020 7:06:34 PM","Hyper-V Server 2016","10.0 (14393)"
"ARCC-HVS-007","CN=ARCC-HVS-007,OU=Hypervisors,OU=Computers,OU=RI,DC=RI,DC=Ads","4/1/2020 9:16:08 PM","Hyper-V Server 2016","10.0 (14393)"
"ARCC-HVS-008","CN=ARCC-HVS-008,OU=Hypervisors,OU=Computers,OU=RI,DC=RI,DC=Ads","5/6/2019 11:20:44 PM","Hyper-V Server 2012 R2","6.3 (9600)"
"ODC-HVS-003","CN=ODC-HVS-003,OU=Hypervisors,OU=Computers,OU=RI,DC=RI,DC=Ads","7/12/2019 5:26:48 PM","Hyper-V Server 2012 R2","6.3 (9600)"
"ODC-HVS-004","CN=ODC-HVS-004,OU=Hypervisors,OU=Computers,OU=RI,DC=RI,DC=Ads","7/14/2019 11:42:29 AM","Hyper-V Server 2012 R2","6.3 (9600)"
"RI-VMM-002","CN=RI-VMM-002,OU=Servers,OU=Computers,OU=RI,DC=RI,DC=Ads","4/8/2019 2:37:38 PM","Windows Server 2016 Standard Evaluation","10.0 (14393)"
