"IPAddress","ScopeId","AddressState","ClientId","ClientType","Description","DnsRegistration","DnsRR","HostName","LeaseExpiryTime","NapCapable","NapStatus","PolicyName","ProbationEnds","ServerIP","PSComputerName"
"10.0.7.107","10.0.7.0","Active","b8-ca-3a-5e-29-ba","Dhcp",,"Complete","PTR","RI-HVS-001.RI.Ads","4/8/2020 4:16:22 PM","False","FullAccess",,,"10.0.7.225",
"10.0.7.108","10.0.7.0","Active","54-e4-3a-89-8c-63","Dhcp",,"Complete","AandPTR","iPad-2.RI.Ads","4/8/2020 4:02:31 PM","False","FullAccess",,,"10.0.7.225",
"10.0.7.109","10.0.7.0","ActiveReservation","00-1e-58-9b-eb-c6","Dhcp","","Complete","AandPTR","Renatus-NAS.RI.Ads",,"False","FullAccess",,,"10.0.7.225",
"10.0.7.111","10.0.7.0","ActiveReservation","90-2b-34-3c-75-1c","Dhcp","RI-WKS-011","Complete","PTR","RI-WKS-011.RI.Ads",,"False","FullAccess",,,"10.0.7.225",
"10.0.7.112","10.0.7.0","ActiveReservation","54-e1-ad-17-08-bc","Dhcp","","Complete","PTR","SHEP-LT-142.SHEP.ads",,"False","FullAccess",,,"10.0.7.225",
"10.0.7.113","10.0.7.0","ActiveReservation","84-8e-0c-42-91-ab","Dhcp","","Complete","AandPTR","iPhoneN.RI.Ads",,"False","FullAccess",,,"10.0.7.225",
"10.0.7.114","10.0.7.0","Active","00-13-c4-61-5b-be","Dhcp",,"Complete","AandPTR","SIP0013C4615BBE.RI.Ads","4/8/2020 4:10:47 PM","False","FullAccess",,,"10.0.7.225",
"10.0.7.115","10.0.7.0","Active","00-15-5d-07-e2-87","Dhcp",,"Complete","PTR","RI-DEV-001.RI.Ads","4/8/2020 4:11:32 PM","False","FullAccess",,,"10.0.7.225",
"10.0.7.116","10.0.7.0","ActiveReservation","00-19-ba-05-f4-d1","Dhcp","","NotApplicable","NoRegistration","Alarm System",,"False","FullAccess",,,"10.0.7.225",
"10.0.7.117","10.0.7.0","ActiveReservation","18-65-90-0a-32-2f","Dhcp","","Complete","AandPTR","iPhone.RI.Ads",,"False","FullAccess",,,"10.0.7.225",
"10.0.7.118","10.0.7.0","ActiveReservation","74-d4-35-69-ce-e0","Dhcp","","Complete","PTR","RI-DT-018.RI.Ads",,"False","FullAccess",,,"10.0.7.225",
"10.0.7.120","10.0.7.0","Active","00-13-c4-49-5d-38","Dhcp",,"Complete","AandPTR","SIP0013C4495D38.RI.Ads","4/8/2020 4:18:51 PM","False","FullAccess",,,"10.0.7.225",
"10.0.7.123","10.0.7.0","Active","00-13-c4-61-5a-fb","Dhcp",,"Complete","AandPTR","SIP0013C4615AFB.RI.Ads","4/8/2020 4:08:53 PM","False","FullAccess",,,"10.0.7.225",
"10.0.7.124","10.0.7.0","Active","00-13-c4-61-5b-90","Dhcp",,"Complete","AandPTR","SIP0013C4615B90.RI.Ads","4/8/2020 4:20:30 PM","False","FullAccess",,,"10.0.7.225",
"10.0.7.125","10.0.7.0","ActiveReservation","18-0c-ac-db-45-91","Dhcp","","Pending","AandPTR","Canondb4591.RI.Ads",,"False","FullAccess",,,"10.0.7.225",
"10.0.7.126","10.0.7.0","Active","00-13-c4-3b-45-c9","Dhcp",,"Complete","AandPTR","SIP0013C43B45C9.RI.Ads","4/8/2020 4:10:00 PM","False","FullAccess",,,"10.0.7.225",
"10.0.7.128","10.0.7.0","Active","18-03-73-7c-1c-c5","Dhcp",,"Complete","PTR","RI-LAB-LT-001.RI.Ads","4/8/2020 4:12:53 PM","False","FullAccess",,,"10.0.7.225",
"10.0.7.129","10.0.7.0","ActiveReservation","24-0a-64-9c-8e-f1","Dhcp","","Complete","PTR","RI-DT-011.RI.Ads",,"False","FullAccess",,,"10.0.7.225",
"10.0.7.131","10.0.7.0","Active","f0-9f-c2-63-47-c3","Dhcp",,"NotApplicable","NoRegistration",,"4/8/2020 4:19:18 PM","False","FullAccess",,,"10.0.7.225",
"10.0.7.132","10.0.7.0","Active","00-13-c4-7e-5a-ce","Dhcp",,"Complete","AandPTR","SIP0013C47E5ACE.RI.Ads","4/8/2020 4:11:14 PM","False","FullAccess",,,"10.0.7.225",
"10.0.7.133","10.0.7.0","ActiveReservation","58-55-ca-f2-55-8b","Dhcp","","Complete","AandPTR","Renatuss-Air.RI.Ads",,"False","FullAccess",,,"10.0.7.225",
"10.0.7.135","10.0.7.0","ActiveReservation","00-15-5d-07-e2-77","Dhcp","","Complete","PTR","ACE-FS-001.ACE.Ads",,"False","FullAccess",,,"10.0.7.225",
"10.0.7.141","10.0.7.0","ActiveReservation","00-23-24-e6-f9-e7","Dhcp","","Complete","PTR","POS00801A.RI.Ads",,"False","FullAccess",,,"10.0.7.225",
"10.0.7.142","10.0.7.0","ActiveReservation","a0-63-91-95-42-4a","Dhcp","","NotApplicable","NoRegistration","",,"False","FullAccess",,,"10.0.7.225",
"10.0.7.145","10.0.7.0","ActiveReservation","54-04-a6-3d-42-af","Dhcp","Brian Long","Complete","PTR","RI-DT-008.RI.Ads",,"False","FullAccess",,,"10.0.7.225",
"10.0.7.148","10.0.7.0","Active","00-0d-65-79-71-0c","Dhcp","","Complete","AandPTR","SIP000D6579710C.RI.Ads","4/8/2020 4:12:06 PM","False","FullAccess",,,"10.0.7.225",
"10.0.7.149","10.0.7.0","ActiveReservation","00-21-9b-44-6d-d4","Dhcp","","Complete","PTR","RI-DT-021.RI.Ads",,"False","FullAccess",,,"10.0.7.225",
"10.0.7.150","10.0.7.0","ActiveReservation","00-15-5d-07-75-04","Dhcp","","Complete","AandPTR","RI-LUX-001.RI.Ads",,"False","FullAccess",,,"10.0.7.225",
"10.0.7.152","10.0.7.0","Active","00-13-c4-65-06-61","Dhcp",,"Complete","AandPTR","SIP0013C4650661.RI.Ads","4/8/2020 4:11:51 PM","False","FullAccess",,,"10.0.7.225",
"10.0.7.156","10.0.7.0","Active","00-17-94-4f-40-7a","Dhcp",,"Complete","AandPTR","SIP0017944F407A.RI.Ads","4/8/2020 4:16:05 PM","False","FullAccess",,,"10.0.7.225",
"10.0.7.157","10.0.7.0","Active","00-13-c4-7e-74-41","Dhcp",,"Complete","AandPTR","SIP0013C47E7441.RI.Ads","4/8/2020 4:06:53 PM","False","FullAccess",,,"10.0.7.225",
"10.0.7.158","10.0.7.0","Active","00-15-f9-36-43-70","Dhcp",,"Complete","AandPTR","SIP0015F9364370.RI.Ads","4/8/2020 4:11:11 PM","False","FullAccess",,,"10.0.7.225",
"10.0.7.159","10.0.7.0","Active","00-1e-4f-d3-e9-8f","Dhcp",,"Complete","PTR","RI-DT-019.RI.Ads","4/8/2020 4:11:58 PM","False","FullAccess",,,"10.0.7.225",
"10.0.7.160","10.0.7.0","ActiveReservation","00-23-ae-57-b4-e2","Dhcp","","Complete","PTR","minint-i46k3u9.RI.Ads",,"False","FullAccess",,,"10.0.7.225",
"10.0.7.164","10.0.7.0","ActiveReservation","00-50-8b-0b-9f-9d","Dhcp","","Complete","AandPTR","Renatus-Edm.RI.Ads",,"False","FullAccess",,,"10.0.7.225",
"10.0.7.165","10.0.7.0","ActiveReservation","d0-67-e5-e6-4f-cc","Dhcp","","Complete","PTR","POS02301.RI.Ads",,"False","FullAccess",,,"10.0.7.225",
"10.0.7.168","10.0.7.0","InactiveReservation","00-15-5d-07-75-05","None","","NotApplicable","NoRegistration","RI-MDMT-001.RI.Ads",,"False","FullAccess",,,"0.0.0.0",
"10.0.7.170","10.0.7.0","Active","63-69-73-63-6f-2d-30-30-31-61-2e-32-66-31-33-2e-36-33-63-30-2d-56-6c-31","Dhcp",,"Complete","AandPTR","Switch.RI.Ads","4/8/2020 4:14:52 PM","False","FullAccess",,,"10.0.7.225",
"10.0.7.180","10.0.7.0","InactiveReservation","00-15-5d-07-e2-6b","None","RI-FTP-001","NotApplicable","NoRegistration","RI-FTP-001",,"False","FullAccess",,,"0.0.0.0",
"10.0.7.190","10.0.7.0","InactiveReservation","f4-b5-49-00-a5-19","None","Yeastar PBX","NotApplicable","NoRegistration","Yeastar PBX",,"False","FullAccess",,,"0.0.0.0",
"10.0.7.212","10.0.7.0","ActiveReservation","00-15-5d-07-e2-34","Dhcp","","Complete","PTR","RI-SEPM-001.RI.Ads",,"False","FullAccess",,,"10.0.7.225",
"10.0.7.213","10.0.7.0","ActiveReservation","70-e2-84-06-b5-7e","Dhcp","","Complete","PTR","RI-HVS-010.RI.Ads",,"False","FullAccess",,,"10.0.7.225",
"10.0.7.214","10.0.7.0","ActiveReservation","70-e2-84-06-ae-90","Dhcp","","Complete","AandPTR","RI-HVS-010-BMC.RI.Ads",,"False","FullAccess",,,"10.0.7.225",
"10.0.7.244","10.0.7.0","InactiveReservation","00-19-ba-ff-fd-6c","None","Paradox System (Murray)","NotApplicable","NoRegistration","Paradox System",,"False","FullAccess",,,"0.0.0.0",
"10.0.7.249","10.0.7.0","ActiveReservation","00-0c-29-6b-37-68","Dhcp","Running Dell IT Assistant","Complete","AandPTR","IT-Assistant.",,"True","FullAccess",,,"10.0.7.225",
"10.0.7.254","10.0.7.0","InactiveReservation","00-11-22-33-44-55","None","NGS Hardcoded devices","NotApplicable","NoRegistration","NGS hardcoded devices",,"False","FullAccess",,,"0.0.0.0",
